,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,85762,Apple Airpods Headphones,1,150,08/17/2020 12:25:51,"4147 River St, San Francisco, CA 94016"
1,85763,Apple Airpods Headphones,1,150,08/16/2020 16:39:30,"2889 Lake St, San Francisco, CA 94016"
2,85764,Wired Headphones,1,11.99,08/23/2020 17:34:36,"6681 Forest St, Atlanta, GA 30301"
3,85765,AA Batteries (4-pack),1,3.84,08/29/2020 15:06:50,"745 Jackson St, Austin, TX 73301"
4,85766,Lightning Charging Cable,1,14.95,08/08/2020 12:30:00,"1371 Wilson St, New York City, NY 10001"
5,85767,Wired Headphones,1,11.99,08/31/2020 13:49:09,"3674 Walnut St, Dallas, TX 75001"
6,85768,Wired Headphones,1,11.99,08/23/2020 14:03:31,"5924 North St, Austin, TX 73301"
7,85769,Lightning Charging Cable,1,14.95,08/06/2020 12:32:42,"2228 Willow St, Dallas, TX 75001"
8,85770,USB-C Charging Cable,1,11.95,08/09/2020 11:26:07,"3056 Dogwood St, New York City, NY 10001"
9,85771,Lightning Charging Cable,1,14.95,08/16/2020 09:19:36,"7141 North St, Los Angeles, CA 90001"
10,85772,Wired Headphones,1,11.99,08/29/2020 23:46:04,"7765 13th St, Atlanta, GA 30301"
11,85773,Apple Airpods Headphones,1,150,08/27/2020 01:35:13,"3598 Dogwood St, San Francisco, CA 94016"
12,85774,iPhone,1,700,08/04/2020 21:08:25,"1759 11th St, Los Angeles, CA 90001"
13,85775,20in Monitor,1,109.99,08/22/2020 21:12:13,"3273 Highland St, Austin, TX 73301"
14,85776,Lightning Charging Cable,1,14.95,08/28/2020 19:36:30,"9671 Madison St, Los Angeles, CA 90001"
15,85777,Lightning Charging Cable,1,14.95,08/03/2020 12:37:03,"2141 13th St, Los Angeles, CA 90001"
16,85778,Wired Headphones,1,11.99,08/02/2020 13:51:17,"832 Main St, Portland, OR 97035"
17,85779,Apple Airpods Headphones,1,150,08/26/2020 21:17:35,"9451 Willow St, New York City, NY 10001"
18,85780,Wired Headphones,1,11.99,08/02/2020 12:34:28,"7849 Cedar St, Atlanta, GA 30301"
19,85781,USB-C Charging Cable,1,11.95,08/27/2020 14:24:36,"8139 Spruce St, Seattle, WA 98101"
20,85781,AA Batteries (4-pack),1,3.84,08/27/2020 14:24:36,"8139 Spruce St, Seattle, WA 98101"
21,85782,Wired Headphones,1,11.99,08/15/2020 12:40:04,"9326 11th St, Dallas, TX 75001"
22,85783,Lightning Charging Cable,1,14.95,08/14/2020 14:41:57,"9178 Sunset St, San Francisco, CA 94016"
23,85784,AA Batteries (4-pack),1,3.84,09/01/2020 00:07:06,"4206 Cherry St, Seattle, WA 98101"
24,85785,AAA Batteries (4-pack),1,2.99,08/22/2020 10:02:51,"4875 Lakeview St, Atlanta, GA 30301"
25,85786,Google Phone,1,600,08/11/2020 23:10:03,"6361 Dogwood St, Los Angeles, CA 90001"
26,85787,27in 4K Gaming Monitor,1,389.99,08/23/2020 20:06:22,"3473 10th St, San Francisco, CA 94016"
27,85788,AAA Batteries (4-pack),2,2.99,08/12/2020 05:59:03,"9261 12th St, Dallas, TX 75001"
28,85789,Macbook Pro Laptop,1,1700,08/03/2020 11:27:34,"8639 10th St, Austin, TX 73301"
29,85790,Google Phone,1,600,08/24/2020 11:22:04,"9703 Adams St, Los Angeles, CA 90001"
30,85791,AA Batteries (4-pack),1,3.84,08/31/2020 20:12:02,"2776 6th St, Seattle, WA 98101"
31,85792,AA Batteries (4-pack),1,3.84,08/31/2020 09:50:18,"4657 12th St, Atlanta, GA 30301"
32,85793,AA Batteries (4-pack),1,3.84,08/19/2020 15:25:44,"2728 Highland St, Portland, OR 97035"
33,85794,USB-C Charging Cable,1,11.95,08/28/2020 20:50:35,"3032 Dogwood St, Portland, OR 97035"
34,85795,Lightning Charging Cable,1,14.95,08/18/2020 09:25:25,"9871 Lincoln St, Dallas, TX 75001"
35,85796,AA Batteries (4-pack),1,3.84,08/13/2020 23:25:49,"1578 Chestnut St, Boston, MA 02215"
36,85797,Google Phone,1,600,08/06/2020 12:33:46,"9428 Maple St, Boston, MA 02215"
37,85797,Wired Headphones,2,11.99,08/06/2020 12:33:46,"9428 Maple St, Boston, MA 02215"
38,85798,AA Batteries (4-pack),1,3.84,08/10/2020 00:16:48,"1258 Forest St, New York City, NY 10001"
39,85799,USB-C Charging Cable,1,11.95,08/14/2020 15:26:25,"7859 2nd St, New York City, NY 10001"
40,85800,Lightning Charging Cable,1,14.95,08/13/2020 19:54:07,"3156 7th St, Portland, ME 04101"
41,85801,Wired Headphones,1,11.99,08/06/2020 10:13:32,"7247 River St, Austin, TX 73301"
42,85802,Flatscreen TV,1,300,08/15/2020 00:56:03,"3885 North St, Los Angeles, CA 90001"
43,85803,Apple Airpods Headphones,1,150,08/24/2020 08:18:35,"630 9th St, Seattle, WA 98101"
44,85804,Bose SoundSport Headphones,1,99.99,08/26/2020 12:27:34,"8691 Sunset St, Portland, ME 04101"
45,85805,Bose SoundSport Headphones,1,99.99,08/28/2020 04:30:27,"4190 West St, Portland, OR 97035"
46,85806,Wired Headphones,1,11.99,08/10/2020 19:43:26,"7150 14th St, Seattle, WA 98101"
47,85806,Bose SoundSport Headphones,1,99.99,08/10/2020 19:43:26,"7150 14th St, Seattle, WA 98101"
48,85807,Apple Airpods Headphones,1,150,08/28/2020 17:36:17,"7559 12th St, San Francisco, CA 94016"
49,85808,27in 4K Gaming Monitor,1,389.99,08/14/2020 07:40:33,"9506 Main St, New York City, NY 10001"
50,85809,Apple Airpods Headphones,1,150,08/12/2020 14:01:00,"1226 4th St, San Francisco, CA 94016"
51,85809,Wired Headphones,1,11.99,08/12/2020 14:01:00,"1226 4th St, San Francisco, CA 94016"
52,85810,USB-C Charging Cable,1,11.95,08/06/2020 11:14:34,"3059 Maple St, New York City, NY 10001"
