,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,137725,Apple Airpods Headphones,1,150,12/16/2020 09:38:25,"2618 11th St, Seattle, WA 98101"
1,137726,34in Ultrawide Monitor,1,379.99,12/19/2020 16:18:16,"3373 7th St, San Francisco, CA 94016"
2,137727,Macbook Pro Laptop,1,1700,12/25/2020 21:31:24,"9050 Adams St, Portland, OR 97035"
3,137728,Flatscreen TV,1,300,12/15/2020 21:43:02,"4736 7th St, San Francisco, CA 94016"
4,137729,Bose SoundSport Headphones,1,99.99,12/20/2020 22:28:30,"9749 Sunset St, San Francisco, CA 94016"
5,137730,Bose SoundSport Headphones,1,99.99,12/11/2020 13:53:01,"5863 Church St, New York City, NY 10001"
6,137731,Flatscreen TV,1,300,12/14/2020 20:17:14,"2560 10th St, San Francisco, CA 94016"
7,137732,Vareebadd Phone,1,400,12/31/2020 13:00:05,"6570 Highland St, San Francisco, CA 94016"
8,137732,USB-C Charging Cable,1,11.95,12/31/2020 13:00:05,"6570 Highland St, San Francisco, CA 94016"
9,137733,Wired Headphones,1,11.99,12/12/2020 19:53:39,"5208 Jefferson St, Portland, OR 97035"
10,137734,iPhone,1,700,12/21/2020 13:40:42,"4538 1st St, Los Angeles, CA 90001"
11,137735,Thinkpad Laptop,1,999.99,12/01/2020 11:39:38,"5199 Sunset St, Boston, MA 02215"
12,137736,Wired Headphones,1,11.99,12/27/2020 19:46:04,"8608 9th St, Seattle, WA 98101"
13,137737,Wired Headphones,1,11.99,12/29/2020 15:25:26,"7278 Park St, San Francisco, CA 94016"
14,137738,LG Dryer,1,600.0,12/15/2020 13:31:33,"3566 Madison St, San Francisco, CA 94016"
15,137739,Lightning Charging Cable,1,14.95,12/21/2020 20:31:29,"623 Adams St, San Francisco, CA 94016"
16,137740,iPhone,1,700,12/29/2020 21:08:59,"4902 6th St, Los Angeles, CA 90001"
17,137741,AA Batteries (4-pack),1,3.84,12/10/2020 22:47:35,"2652 Main St, Dallas, TX 75001"
18,137742,Lightning Charging Cable,1,14.95,12/30/2020 14:15:28,"2935 South St, Seattle, WA 98101"
19,137743,Lightning Charging Cable,1,14.95,12/01/2020 18:45:41,"122 Washington St, New York City, NY 10001"
20,137744,Apple Airpods Headphones,1,150,12/12/2020 14:23:46,"1828 4th St, Los Angeles, CA 90001"
21,137745,AA Batteries (4-pack),2,3.84,12/24/2020 10:28:20,"622 Chestnut St, San Francisco, CA 94016"
22,137746,USB-C Charging Cable,1,11.95,12/21/2020 19:57:29,"9961 Forest St, Austin, TX 73301"
23,137746,Wired Headphones,1,11.99,12/21/2020 19:57:29,"9961 Forest St, Austin, TX 73301"
24,137747,USB-C Charging Cable,1,11.95,12/25/2020 20:01:13,"2467 Park St, Dallas, TX 75001"
25,137748,34in Ultrawide Monitor,1,379.99,12/10/2020 12:23:13,"4771 Madison St, New York City, NY 10001"
26,137749,iPhone,1,700,12/08/2020 19:26:01,"803 10th St, Seattle, WA 98101"
27,137750,Wired Headphones,1,11.99,12/04/2020 10:42:21,"4969 Johnson St, Dallas, TX 75001"
28,137751,Wired Headphones,1,11.99,12/17/2020 08:10:52,"1927 Meadow St, San Francisco, CA 94016"
29,137752,34in Ultrawide Monitor,1,379.99,12/23/2020 09:37:17,"6708 Madison St, Boston, MA 02215"
30,137753,USB-C Charging Cable,1,11.95,12/14/2020 14:35:20,"6713 Chestnut St, San Francisco, CA 94016"
