,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,10609,Flatscreen TV,1,300,02/14/2020 14:07:19,"2748 Meadow St, Los Angeles, CA 90001"
1,10610,AA Batteries (4-pack),4,3.84,02/02/2020 09:43:16,"6348 Chestnut St, Seattle, WA 98101"
2,10611,Lightning Charging Cable,1,14.95,02/27/2020 10:06:56,"2431 2nd St, San Francisco, CA 94016"
3,10612,USB-C Charging Cable,1,11.95,02/22/2020 08:28:31,"1273 Hill St, New York City, NY 10001"
4,10613,LG Washing Machine,1,600.0,02/08/2020 22:22:07,"2121 14th St, Boston, MA 02215"
5,10614,Thinkpad Laptop,1,999.99,02/16/2020 18:15:10,"9812 Maple St, Los Angeles, CA 90001"
6,10615,Lightning Charging Cable,1,14.95,02/03/2020 13:03:43,"5946 Spruce St, New York City, NY 10001"
7,10616,Lightning Charging Cable,1,14.95,02/08/2020 12:47:52,"7077 West St, Boston, MA 02215"
8,10617,Lightning Charging Cable,1,14.95,02/06/2020 22:20:28,"9831 South St, Atlanta, GA 30301"
9,10618,AA Batteries (4-pack),2,3.84,02/04/2020 11:43:21,"3867 Washington St, San Francisco, CA 94016"
10,10619,Lightning Charging Cable,1,14.95,02/07/2020 08:25:45,"2653 Spruce St, Los Angeles, CA 90001"
11,10620,LG Washing Machine,1,600.0,02/03/2020 20:39:00,"6824 Center St, Los Angeles, CA 90001"
12,10621,Lightning Charging Cable,1,14.95,02/18/2020 23:35:51,"8609 Lincoln St, New York City, NY 10001"
13,10622,USB-C Charging Cable,1,11.95,02/13/2020 13:10:54,"6989 River St, Portland, OR 97035"
14,10623,Apple Airpods Headphones,1,150,02/08/2020 21:52:59,"5368 Cherry St, Seattle, WA 98101"
15,10624,AAA Batteries (4-pack),1,2.99,02/16/2020 18:40:26,"6542 Elm St, Austin, TX 73301"
16,10625,Flatscreen TV,1,300,02/18/2020 21:58:14,"8295 Main St, Seattle, WA 98101"
17,10626,USB-C Charging Cable,1,11.95,02/24/2020 20:50:32,"7057 Cherry St, San Francisco, CA 94016"
18,10627,Google Phone,1,600,02/16/2020 20:53:28,"9554 Jackson St, Austin, TX 73301"
19,10628,iPhone,1,700,02/24/2020 20:53:41,"3569 Forest St, New York City, NY 10001"
20,10629,USB-C Charging Cable,1,11.95,02/05/2020 13:48:26,"7071 West St, Boston, MA 02215"
21,10630,Lightning Charging Cable,1,14.95,02/22/2020 22:27:47,"9749 Cherry St, Los Angeles, CA 90001"
22,10631,USB-C Charging Cable,1,11.95,02/11/2020 17:46:48,"7036 Walnut St, New York City, NY 10001"
23,10632,Wired Headphones,1,11.99,02/03/2020 12:37:56,"3513 Wilson St, Boston, MA 02215"
24,10633,iPhone,1,700,02/06/2020 02:26:46,"551 Park St, New York City, NY 10001"
25,10634,Bose SoundSport Headphones,1,99.99,02/24/2020 10:43:41,"1850 Walnut St, New York City, NY 10001"
26,10635,AA Batteries (4-pack),2,3.84,02/27/2020 12:26:04,"8728 2nd St, San Francisco, CA 94016"
27,10636,Wired Headphones,1,11.99,02/24/2020 09:54:03,"2106 Lakeview St, Austin, TX 73301"
28,10637,Thinkpad Laptop,1,999.99,02/14/2020 11:55:23,"1378 5th St, San Francisco, CA 94016"
29,10638,Lightning Charging Cable,2,14.95,02/14/2020 04:13:27,"4297 1st St, Atlanta, GA 30301"
30,10639,USB-C Charging Cable,1,11.95,02/04/2020 05:36:39,"5602 Hickory St, Dallas, TX 75001"
31,10640,Google Phone,1,600,02/06/2020 09:53:12,"2726 Cherry St, Portland, ME 04101"
32,10641,Bose SoundSport Headphones,1,99.99,02/19/2020 19:42:45,"265 Cedar St, Los Angeles, CA 90001"
33,10641,Google Phone,1,600,02/19/2020 19:42:45,"265 Cedar St, Los Angeles, CA 90001"
34,10642,Vareebadd Phone,1,400,02/14/2020 01:00:41,"435 Center St, Los Angeles, CA 90001"
35,10643,AA Batteries (4-pack),1,3.84,02/15/2020 07:15:10,"2657 Church St, Portland, OR 97035"
36,10643,iPhone,1,700,02/15/2020 07:15:10,"2657 Church St, Portland, OR 97035"
37,10644,Lightning Charging Cable,1,14.95,02/09/2020 10:58:38,"3878 Forest St, San Francisco, CA 94016"
38,10645,Lightning Charging Cable,2,14.95,02/21/2020 08:28:11,"2406 Forest St, Boston, MA 02215"
39,10646,Apple Airpods Headphones,1,150,02/09/2020 20:55:24,"2019 West St, New York City, NY 10001"
40,10647,USB-C Charging Cable,1,11.95,02/11/2020 20:34:36,"1233 Maple St, Portland, ME 04101"
41,10648,Vareebadd Phone,1,400,02/10/2020 01:09:38,"3902 Main St, Los Angeles, CA 90001"
42,10648,Wired Headphones,1,11.99,02/10/2020 01:09:38,"3902 Main St, Los Angeles, CA 90001"
43,10649,AA Batteries (4-pack),1,3.84,02/21/2020 16:36:32,"4160 South St, Dallas, TX 75001"
44,10650,Wired Headphones,1,11.99,02/08/2020 22:36:03,"5881 Hill St, Atlanta, GA 30301"
45,10651,Lightning Charging Cable,1,14.95,02/02/2020 18:57:10,"6117 Center St, Portland, ME 04101"
46,10652,Apple Airpods Headphones,1,150,02/03/2020 11:55:25,"6865 North St, New York City, NY 10001"
47,10653,Macbook Pro Laptop,1,1700,02/17/2020 08:51:58,"2098 Cherry St, Seattle, WA 98101"
48,10654,Flatscreen TV,1,300,02/07/2020 18:31:28,"5545 Cedar St, Dallas, TX 75001"
49,10655,AA Batteries (4-pack),1,3.84,02/05/2020 12:19:04,"2272 Jackson St, Atlanta, GA 30301"
50,10656,Bose SoundSport Headphones,1,99.99,02/05/2020 09:18:17,"5299 Church St, Portland, ME 04101"
51,10657,Apple Airpods Headphones,1,150,02/23/2020 05:48:34,"867 Center St, Atlanta, GA 30301"
52,10658,AA Batteries (4-pack),1,3.84,02/10/2020 01:28:46,"1746 Walnut St, Los Angeles, CA 90001"
53,10659,iPhone,1,700,02/06/2020 18:10:25,"476 Wilson St, Seattle, WA 98101"
54,10659,Apple Airpods Headphones,1,150,02/06/2020 18:10:25,"476 Wilson St, Seattle, WA 98101"
55,10659,Wired Headphones,1,11.99,02/06/2020 18:10:25,"476 Wilson St, Seattle, WA 98101"
56,10660,Flatscreen TV,1,300,02/25/2020 20:46:21,"3362 South St, Los Angeles, CA 90001"
57,10661,Wired Headphones,1,11.99,02/11/2020 13:55:51,"2804 12th St, Portland, OR 97035"
58,10662,Macbook Pro Laptop,1,1700,02/08/2020 14:42:26,"6340 Dogwood St, Seattle, WA 98101"
59,10663,USB-C Charging Cable,1,11.95,02/22/2020 16:22:17,"3135 Meadow St, Los Angeles, CA 90001"
60,10664,Wired Headphones,1,11.99,02/14/2020 16:48:25,"9791 Jefferson St, Atlanta, GA 30301"
61,10665,Lightning Charging Cable,1,14.95,02/22/2020 09:55:41,"3233 West St, Los Angeles, CA 90001"
62,10666,AA Batteries (4-pack),2,3.84,02/28/2020 21:26:20,"1684 13th St, Dallas, TX 75001"
63,10667,USB-C Charging Cable,1,11.95,02/14/2020 14:55:13,"3523 Jackson St, Los Angeles, CA 90001"
64,10667,Vareebadd Phone,1,400,02/14/2020 14:55:13,"3523 Jackson St, Los Angeles, CA 90001"
65,10668,AAA Batteries (4-pack),2,2.99,02/27/2020 07:48:21,"575 River St, Dallas, TX 75001"
66,10669,Bose SoundSport Headphones,1,99.99,02/24/2020 22:49:47,"6387 Sunset St, Seattle, WA 98101"
67,10670,Vareebadd Phone,1,400,02/04/2020 12:10:38,"3964 11th St, Atlanta, GA 30301"
68,10671,iPhone,1,700,02/05/2020 08:42:14,"1811 Church St, Austin, TX 73301"
69,10671,Apple Airpods Headphones,1,150,02/05/2020 08:42:14,"1811 Church St, Austin, TX 73301"
70,10671,Wired Headphones,1,11.99,02/05/2020 08:42:14,"1811 Church St, Austin, TX 73301"
71,10672,USB-C Charging Cable,1,11.95,02/16/2020 08:41:39,"9819 Dogwood St, Portland, OR 97035"
72,10673,27in 4K Gaming Monitor,1,389.99,02/12/2020 23:32:37,"2476 Center St, Austin, TX 73301"
73,10674,Wired Headphones,1,11.99,02/25/2020 10:17:44,"1700 Cherry St, New York City, NY 10001"
74,10675,AA Batteries (4-pack),2,3.84,02/29/2020 14:53:07,"6781 13th St, Boston, MA 02215"
75,10676,Apple Airpods Headphones,1,150,02/09/2020 04:58:43,"9397 Chestnut St, Boston, MA 02215"
76,10677,Lightning Charging Cable,1,14.95,02/03/2020 22:49:26,"7736 Cherry St, San Francisco, CA 94016"
77,10678,USB-C Charging Cable,1,11.95,02/25/2020 23:18:49,"8979 7th St, San Francisco, CA 94016"
78,10679,Vareebadd Phone,1,400,02/10/2020 03:40:19,"8498 Forest St, Boston, MA 02215"
79,10680,USB-C Charging Cable,1,11.95,02/15/2020 11:02:45,"2600 Church St, Boston, MA 02215"
80,10681,Lightning Charging Cable,1,14.95,02/26/2020 12:56:16,"5788 Elm St, San Francisco, CA 94016"
81,10682,USB-C Charging Cable,1,11.95,02/01/2020 16:41:21,"5698 Walnut St, Dallas, TX 75001"
82,10683,Lightning Charging Cable,1,14.95,02/27/2020 15:07:19,"2992 13th St, Boston, MA 02215"
83,10684,Macbook Pro Laptop,1,1700,02/16/2020 20:25:14,"9308 5th St, Boston, MA 02215"
84,10685,USB-C Charging Cable,1,11.95,02/08/2020 12:18:14,"4675 Wilson St, San Francisco, CA 94016"
85,10686,Wired Headphones,1,11.99,02/23/2020 07:05:14,"9731 Chestnut St, Atlanta, GA 30301"
86,10687,Bose SoundSport Headphones,1,99.99,02/29/2020 12:18:18,"9293 Cedar St, Atlanta, GA 30301"
87,10688,Thinkpad Laptop,1,999.99,02/21/2020 21:10:07,"2078 7th St, Seattle, WA 98101"
88,10689,Apple Airpods Headphones,1,150,02/04/2020 06:24:03,"3674 South St, Los Angeles, CA 90001"
89,10690,Wired Headphones,1,11.99,02/24/2020 20:16:28,"8008 Lakeview St, Los Angeles, CA 90001"
90,10691,Wired Headphones,1,11.99,02/03/2020 07:24:37,"5112 Center St, New York City, NY 10001"
91,10692,Apple Airpods Headphones,1,150,02/19/2020 23:56:43,"7714 Walnut St, Los Angeles, CA 90001"
92,10693,USB-C Charging Cable,1,11.95,02/15/2020 19:17:21,"512 Walnut St, Seattle, WA 98101"
93,10694,Bose SoundSport Headphones,1,99.99,02/14/2020 18:16:24,"2205 13th St, San Francisco, CA 94016"
94,10695,AAA Batteries (4-pack),2,2.99,02/29/2020 07:15:02,"4783 7th St, Atlanta, GA 30301"
95,10696,AA Batteries (4-pack),1,3.84,02/16/2020 10:29:47,"9763 Meadow St, Los Angeles, CA 90001"
96,10697,Apple Airpods Headphones,1,150,02/29/2020 13:08:54,"1479 Hill St, Seattle, WA 98101"
97,10698,Apple Airpods Headphones,1,150,02/19/2020 09:13:39,"2300 South St, San Francisco, CA 94016"
98,10699,Apple Airpods Headphones,1,150,02/01/2020 09:49:02,"2723 9th St, Seattle, WA 98101"
99,10700,Apple Airpods Headphones,1,150,02/17/2020 17:07:47,"1855 Meadow St, San Francisco, CA 94016"
100,10701,Lightning Charging Cable,2,14.95,02/18/2020 13:35:10,"8164 10th St, New York City, NY 10001"
101,10702,USB-C Charging Cable,1,11.95,02/17/2020 14:49:40,"8468 Adams St, Los Angeles, CA 90001"
102,10703,Thinkpad Laptop,1,999.99,02/26/2020 17:50:51,"9889 Maple St, Dallas, TX 75001"
103,10704,Bose SoundSport Headphones,2,99.99,02/05/2020 18:45:49,"6408 Main St, San Francisco, CA 94016"
104,10705,USB-C Charging Cable,1,11.95,02/19/2020 22:48:58,"5138 Highland St, San Francisco, CA 94016"
105,10706,Apple Airpods Headphones,1,150,02/22/2020 09:04:35,"6223 13th St, Austin, TX 73301"
106,10707,Wired Headphones,1,11.99,02/10/2020 20:03:41,"5657 11th St, San Francisco, CA 94016"
107,10708,Lightning Charging Cable,1,14.95,02/09/2020 04:05:48,"9684 North St, New York City, NY 10001"
108,10709,Google Phone,1,600,02/07/2020 15:15:14,"9610 8th St, Los Angeles, CA 90001"
109,10709,USB-C Charging Cable,1,11.95,02/07/2020 15:15:14,"9610 8th St, Los Angeles, CA 90001"
110,10710,AA Batteries (4-pack),2,3.84,02/03/2020 21:57:08,"7446 12th St, San Francisco, CA 94016"
111,10711,27in FHD Monitor,1,149.99,02/14/2020 05:06:14,"9447 Park St, Dallas, TX 75001"
112,10712,Vareebadd Phone,1,400,02/19/2020 18:38:04,"2190 Park St, Atlanta, GA 30301"
113,10713,27in 4K Gaming Monitor,1,389.99,02/10/2020 18:22:37,"763 1st St, Atlanta, GA 30301"
114,10714,Lightning Charging Cable,1,14.95,02/02/2020 13:07:28,"5536 Highland St, Portland, OR 97035"
115,10715,Wired Headphones,1,11.99,02/11/2020 20:30:56,"80 West St, San Francisco, CA 94016"
116,10716,Bose SoundSport Headphones,2,99.99,02/17/2020 21:56:16,"2725 Washington St, San Francisco, CA 94016"
117,10717,Bose SoundSport Headphones,1,99.99,02/16/2020 10:13:05,"3451 Park St, Austin, TX 73301"
118,10718,Lightning Charging Cable,1,14.95,02/16/2020 12:11:02,"4500 Wilson St, San Francisco, CA 94016"
119,10719,Vareebadd Phone,1,400,02/05/2020 16:28:03,"6376 West St, Dallas, TX 75001"
120,10719,USB-C Charging Cable,1,11.95,02/05/2020 16:28:03,"6376 West St, Dallas, TX 75001"
121,10719,Bose SoundSport Headphones,1,99.99,02/05/2020 16:28:03,"6376 West St, Dallas, TX 75001"
122,10720,Wired Headphones,2,11.99,02/20/2020 08:20:49,"5832 Madison St, San Francisco, CA 94016"
123,10721,Apple Airpods Headphones,1,150,02/20/2020 23:37:48,"1109 2nd St, San Francisco, CA 94016"
124,10722,Vareebadd Phone,1,400,02/11/2020 16:08:56,"2415 Maple St, San Francisco, CA 94016"
125,10722,USB-C Charging Cable,2,11.95,02/11/2020 16:08:56,"2415 Maple St, San Francisco, CA 94016"
126,10723,Macbook Pro Laptop,1,1700,02/13/2020 20:16:53,"9857 7th St, Los Angeles, CA 90001"
127,10724,Apple Airpods Headphones,1,150,02/07/2020 14:42:15,"1692 Dogwood St, San Francisco, CA 94016"
128,10725,Macbook Pro Laptop,1,1700,02/10/2020 01:21:39,"2543 Chestnut St, San Francisco, CA 94016"
129,10726,AA Batteries (4-pack),1,3.84,02/29/2020 10:14:51,"8464 Walnut St, Los Angeles, CA 90001"
130,10727,27in 4K Gaming Monitor,1,389.99,02/07/2020 19:30:24,"7823 Maple St, San Francisco, CA 94016"
131,10728,Wired Headphones,1,11.99,02/23/2020 15:34:20,"3909 Elm St, New York City, NY 10001"
132,10729,Apple Airpods Headphones,1,150,02/29/2020 16:35:29,"4516 Ridge St, New York City, NY 10001"
133,10730,27in 4K Gaming Monitor,1,389.99,02/27/2020 10:28:55,"6257 13th St, Los Angeles, CA 90001"
134,10731,Apple Airpods Headphones,1,150,02/28/2020 14:16:24,"8021 Forest St, Atlanta, GA 30301"
135,10732,AA Batteries (4-pack),2,3.84,02/02/2020 11:17:12,"8172 Pine St, Los Angeles, CA 90001"
136,10733,27in 4K Gaming Monitor,1,389.99,02/02/2020 09:49:13,"94 Forest St, Los Angeles, CA 90001"
137,10734,USB-C Charging Cable,1,11.95,02/12/2020 17:24:43,"6752 North St, Dallas, TX 75001"
138,10735,34in Ultrawide Monitor,1,379.99,02/14/2020 21:03:53,"5896 Willow St, Los Angeles, CA 90001"
139,10736,AA Batteries (4-pack),2,3.84,02/10/2020 23:06:18,"9579 Lakeview St, Boston, MA 02215"
140,10737,Wired Headphones,1,11.99,02/03/2020 16:35:56,"4254 Jefferson St, Portland, OR 97035"
141,10738,LG Washing Machine,1,600.0,02/13/2020 01:47:38,"2525 8th St, Los Angeles, CA 90001"
142,10739,Google Phone,1,600,02/14/2020 23:29:05,"4456 Madison St, Boston, MA 02215"
143,10740,Wired Headphones,1,11.99,02/12/2020 17:55:24,"4612 10th St, Dallas, TX 75001"
144,10741,Bose SoundSport Headphones,1,99.99,02/22/2020 16:28:54,"8314 Hill St, Seattle, WA 98101"
145,10742,Lightning Charging Cable,1,14.95,02/18/2020 20:53:03,"2845 9th St, New York City, NY 10001"
146,10743,AA Batteries (4-pack),1,3.84,02/20/2020 03:53:34,"3553 14th St, Dallas, TX 75001"
147,10744,Vareebadd Phone,1,400,02/22/2020 00:07:08,"9016 River St, San Francisco, CA 94016"
148,10744,USB-C Charging Cable,2,11.95,02/22/2020 00:07:08,"9016 River St, San Francisco, CA 94016"
149,10745,27in 4K Gaming Monitor,1,389.99,02/10/2020 16:28:31,"1387 Wilson St, Los Angeles, CA 90001"
150,10745,Bose SoundSport Headphones,1,99.99,02/10/2020 16:28:31,"1387 Wilson St, Los Angeles, CA 90001"
151,10746,USB-C Charging Cable,1,11.95,02/25/2020 16:19:06,"3539 Johnson St, Los Angeles, CA 90001"
152,10747,AA Batteries (4-pack),2,3.84,02/05/2020 10:04:17,"4998 Cherry St, Los Angeles, CA 90001"
153,10748,AAA Batteries (4-pack),3,2.99,02/24/2020 07:46:59,"3909 Lincoln St, Portland, ME 04101"
154,10749,Lightning Charging Cable,1,14.95,02/28/2020 15:33:58,"1417 Jefferson St, New York City, NY 10001"
155,10750,Wired Headphones,1,11.99,02/09/2020 08:45:52,"4099 Church St, Boston, MA 02215"
156,10751,Apple Airpods Headphones,1,150,02/24/2020 22:00:16,"5111 Sunset St, Dallas, TX 75001"
157,10752,Bose SoundSport Headphones,1,99.99,02/25/2020 17:04:18,"2915 13th St, Dallas, TX 75001"
158,10753,AA Batteries (4-pack),1,3.84,02/21/2020 13:17:30,"956 7th St, New York City, NY 10001"
159,10754,Lightning Charging Cable,1,14.95,02/27/2020 20:30:01,"436 Madison St, Atlanta, GA 30301"
160,10755,AA Batteries (4-pack),1,3.84,02/13/2020 20:22:32,"2108 10th St, New York City, NY 10001"
161,10756,AA Batteries (4-pack),1,3.84,02/21/2020 15:31:47,"5879 Forest St, Portland, OR 97035"
162,10757,AA Batteries (4-pack),1,3.84,02/02/2020 11:55:18,"1838 Adams St, Dallas, TX 75001"
163,10758,Macbook Pro Laptop,1,1700,02/22/2020 16:41:26,"422 Cherry St, Portland, OR 97035"
164,10759,Flatscreen TV,1,300,02/12/2020 13:30:09,"7578 Ridge St, Seattle, WA 98101"
165,10760,Thinkpad Laptop,1,999.99,02/01/2020 21:40:52,"2985 1st St, Portland, OR 97035"
166,10761,USB-C Charging Cable,1,11.95,02/08/2020 19:23:35,"9066 Spruce St, Seattle, WA 98101"
167,10762,Apple Airpods Headphones,1,150,02/20/2020 15:48:39,"2260 Lake St, Dallas, TX 75001"
168,10763,USB-C Charging Cable,1,11.95,02/25/2020 17:45:24,"370 Center St, Boston, MA 02215"
169,10764,AA Batteries (4-pack),1,3.84,02/13/2020 01:18:07,"2445 12th St, New York City, NY 10001"
170,10765,Thinkpad Laptop,1,999.99,02/27/2020 20:42:48,"5371 Spruce St, San Francisco, CA 94016"
171,10766,AA Batteries (4-pack),2,3.84,02/22/2020 13:41:22,"8373 Johnson St, Dallas, TX 75001"
172,10767,34in Ultrawide Monitor,1,379.99,02/10/2020 12:20:17,"3807 Lakeview St, Los Angeles, CA 90001"
