,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,1000,Wired Headphones,1,11.99,01/27/2020 23:54:10,"9962 Park St, San Francisco, CA 94016"
1,1001,AAA Batteries (4-pack),1,2.99,01/03/2020 18:43:30,"3020 Main St, Dallas, TX 75001"
2,1002,20in Monitor,1,109.99,01/28/2020 20:19:51,"9741 13th St, Seattle, WA 98101"
3,1003,Lightning Charging Cable,1,14.95,01/23/2020 13:41:03,"4989 Willow St, New York City, NY 10001"
4,1004,AAA Batteries (4-pack),2,2.99,01/02/2020 15:46:25,"3096 South St, San Francisco, CA 94016"
5,1005,USB-C Charging Cable,1,11.95,01/24/2020 00:56:52,"9815 Hill St, Dallas, TX 75001"
6,1006,Lightning Charging Cable,2,14.95,01/05/2020 13:04:34,"1132 Willow St, Dallas, TX 75001"
7,1007,Apple Airpods Headphones,1,150.0,01/19/2020 18:51:34,"5281 Meadow St, Seattle, WA 98101"
8,1008,Lightning Charging Cable,1,14.95,01/24/2020 19:20:09,"6960 Lakeview St, Los Angeles, CA 90001"
9,1009,AA Batteries (4-pack),1,3.84,01/05/2020 12:24:02,"1103 11th St, Los Angeles, CA 90001"
10,1010,iPhone,1,700.0,01/18/2020 14:01:49,"8968 Willow St, Los Angeles, CA 90001"
11,1010,Wired Headphones,1,11.99,01/18/2020 14:01:49,"8968 Willow St, Los Angeles, CA 90001"
12,1011,iPhone,1,700.0,01/17/2020 15:15:01,"7270 Cedar St, Austin, TX 73301"
13,1012,AA Batteries (4-pack),1,3.84,01/29/2020 19:12:23,"2354 Sunset St, Austin, TX 73301"
14,1013,USB-C Charging Cable,1,11.95,01/24/2020 18:37:08,"9510 7th St, San Francisco, CA 94016"
15,1014,USB-C Charging Cable,1,11.95,01/15/2020 14:51:06,"7069 Jefferson St, San Francisco, CA 94016"
16,1015,Apple Airpods Headphones,1,150.0,01/18/2020 18:07:19,"6397 Spruce St, Boston, MA 02215"
17,1016,20in Monitor,1,109.99,01/03/2020 16:40:48,"3569 Adams St, Dallas, TX 75001"
18,1017,34in Ultrawide Monitor,1,379.99,01/01/2020 17:53:14,"1021 13th St, Austin, TX 73301"
19,1018,Wired Headphones,1,11.99,01/28/2020 21:20:49,"8962 Adams St, New York City, NY 10001"
20,1019,Wired Headphones,1,11.99,01/20/2020 00:47:30,"2332 Hickory St, San Francisco, CA 94016"
21,1020,Thinkpad Laptop,1,999.99,01/31/2020 19:11:23,"6120 13th St, Los Angeles, CA 90001"
