,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,71776,iPhone,1,700,07/03/2020 13:20:08,"1234 Wilson St, San Francisco, CA 94016"
1,71777,Vareebadd Phone,1,400,07/14/2020 18:58:28,"7926 Meadow St, Austin, TX 73301"
2,71778,Lightning Charging Cable,1,14.95,07/12/2020 19:07:43,"9415 Johnson St, New York City, NY 10001"
3,71779,34in Ultrawide Monitor,1,379.99,07/06/2020 13:46:58,"421 Park St, Atlanta, GA 30301"
4,71780,Lightning Charging Cable,1,14.95,07/25/2020 15:53:41,"8358 12th St, New York City, NY 10001"
5,71781,34in Ultrawide Monitor,1,379.99,07/10/2020 14:03:59,"8617 Lake St, Seattle, WA 98101"
6,71782,Wired Headphones,1,11.99,07/29/2020 15:07:28,"4062 Walnut St, Los Angeles, CA 90001"
7,71783,Lightning Charging Cable,1,14.95,07/13/2020 22:51:58,"8185 Center St, Los Angeles, CA 90001"
8,71784,Flatscreen TV,1,300,07/09/2020 11:35:24,"7175 10th St, Portland, OR 97035"
9,71785,iPhone,1,700,07/12/2020 19:53:56,"800 Elm St, Dallas, TX 75001"
10,71786,AA Batteries (4-pack),1,3.84,07/28/2020 14:38:19,"635 Cherry St, Dallas, TX 75001"
11,71787,Wired Headphones,1,11.99,07/14/2020 15:51:11,"4761 Ridge St, Dallas, TX 75001"
12,71788,Bose SoundSport Headphones,1,99.99,07/16/2020 12:46:22,"9477 Sunset St, Los Angeles, CA 90001"
13,71789,Lightning Charging Cable,1,14.95,07/09/2020 23:29:58,"7776 Ridge St, Seattle, WA 98101"
14,71790,iPhone,1,700,07/19/2020 07:33:49,"9997 14th St, Atlanta, GA 30301"
15,71790,Wired Headphones,1,11.99,07/19/2020 07:33:49,"9997 14th St, Atlanta, GA 30301"
16,71791,Lightning Charging Cable,1,14.95,07/25/2020 10:33:26,"7278 Pine St, New York City, NY 10001"
17,71792,Apple Airpods Headphones,1,150,07/05/2020 23:44:06,"9236 Park St, San Francisco, CA 94016"
18,71793,27in 4K Gaming Monitor,1,389.99,07/27/2020 23:07:17,"7468 Forest St, Los Angeles, CA 90001"
19,71794,Flatscreen TV,1,300,07/27/2020 20:04:48,"2568 12th St, Los Angeles, CA 90001"
20,71795,20in Monitor,1,109.99,07/03/2020 15:10:05,"1198 Main St, Atlanta, GA 30301"
21,71796,Lightning Charging Cable,1,14.95,07/09/2020 17:09:59,"3596 River St, Los Angeles, CA 90001"
22,71797,Lightning Charging Cable,1,14.95,07/22/2020 13:11:44,"3680 Johnson St, New York City, NY 10001"
23,71798,Lightning Charging Cable,1,14.95,07/17/2020 18:53:32,"1213 Adams St, Atlanta, GA 30301"
24,71799,iPhone,1,700,07/23/2020 17:38:48,"5609 11th St, Dallas, TX 75001"
25,71800,Bose SoundSport Headphones,1,99.99,07/09/2020 08:23:07,"7078 Ridge St, Seattle, WA 98101"
26,71801,Google Phone,1,600,07/10/2020 18:54:08,"5516 Madison St, San Francisco, CA 94016"
27,71802,iPhone,1,700,07/23/2020 06:57:45,"1771 Hill St, San Francisco, CA 94016"
28,71803,USB-C Charging Cable,1,11.95,07/17/2020 20:20:39,"2935 Lake St, Boston, MA 02215"
29,71804,AA Batteries (4-pack),1,3.84,07/07/2020 20:09:23,"3642 Dogwood St, Los Angeles, CA 90001"
30,71805,Vareebadd Phone,1,400,07/19/2020 16:54:04,"3024 Hickory St, New York City, NY 10001"
31,71806,AA Batteries (4-pack),2,3.84,07/16/2020 20:30:56,"9682 Pine St, San Francisco, CA 94016"
32,71807,Apple Airpods Headphones,1,150,07/21/2020 23:05:21,"3337 Cherry St, Dallas, TX 75001"
33,71808,AA Batteries (4-pack),1,3.84,07/28/2020 13:14:11,"6979 Washington St, San Francisco, CA 94016"
34,71809,20in Monitor,1,109.99,07/14/2020 09:57:44,"9394 Wilson St, San Francisco, CA 94016"
35,71810,USB-C Charging Cable,1,11.95,07/13/2020 16:43:51,"4925 5th St, New York City, NY 10001"
36,71811,Wired Headphones,2,11.99,07/30/2020 20:42:32,"8388 11th St, Boston, MA 02215"
37,71812,AA Batteries (4-pack),1,3.84,07/25/2020 17:40:24,"8501 Jackson St, San Francisco, CA 94016"
38,71813,Bose SoundSport Headphones,1,99.99,07/09/2020 20:17:57,"9858 Lincoln St, Portland, OR 97035"
39,71814,USB-C Charging Cable,1,11.95,07/25/2020 20:08:58,"9393 Spruce St, San Francisco, CA 94016"
40,71815,Bose SoundSport Headphones,1,99.99,07/01/2020 19:14:53,"1461 Spruce St, San Francisco, CA 94016"
41,71816,AA Batteries (4-pack),1,3.84,07/07/2020 20:38:30,"4854 Wilson St, Los Angeles, CA 90001"
42,71817,USB-C Charging Cable,1,11.95,07/15/2020 19:49:31,"491 Pine St, Dallas, TX 75001"
43,71818,LG Washing Machine,1,600.0,07/10/2020 21:01:18,"4824 Meadow St, San Francisco, CA 94016"
44,71819,20in Monitor,1,109.99,07/07/2020 11:13:39,"4293 12th St, Atlanta, GA 30301"
45,71820,USB-C Charging Cable,2,11.95,07/26/2020 10:43:59,"2949 Dogwood St, San Francisco, CA 94016"
46,71821,iPhone,1,700,07/20/2020 19:14:47,"1133 Sunset St, Seattle, WA 98101"
47,71822,Bose SoundSport Headphones,1,99.99,07/14/2020 13:17:36,"1814 Johnson St, Dallas, TX 75001"
48,71823,USB-C Charging Cable,1,11.95,07/22/2020 20:47:41,"743 Lincoln St, San Francisco, CA 94016"
49,71824,Apple Airpods Headphones,1,150,07/27/2020 22:10:22,"8807 Center St, New York City, NY 10001"
50,71825,Apple Airpods Headphones,1,150,07/28/2020 17:02:00,"8515 Center St, Boston, MA 02215"
51,71826,Lightning Charging Cable,1,14.95,07/07/2020 05:58:36,"8254 South St, Atlanta, GA 30301"
52,71827,Google Phone,1,600,07/19/2020 08:47:44,"2687 South St, Seattle, WA 98101"
53,71828,USB-C Charging Cable,1,11.95,07/18/2020 16:15:25,"9236 Hill St, Boston, MA 02215"
54,71829,iPhone,1,700,07/19/2020 20:22:35,"7806 Madison St, New York City, NY 10001"
55,71830,Macbook Pro Laptop,1,1700,07/20/2020 23:27:08,"2824 Adams St, Seattle, WA 98101"
56,71831,USB-C Charging Cable,1,11.95,07/10/2020 15:11:25,"5566 Chestnut St, Seattle, WA 98101"
57,71832,Lightning Charging Cable,1,14.95,07/05/2020 07:43:44,"8011 South St, Boston, MA 02215"
58,71833,Bose SoundSport Headphones,1,99.99,07/18/2020 20:27:05,"832 Ridge St, Seattle, WA 98101"
59,71834,Wired Headphones,2,11.99,07/22/2020 10:31:47,"5086 4th St, San Francisco, CA 94016"
60,71835,Bose SoundSport Headphones,1,99.99,07/19/2020 17:04:15,"9688 11th St, Boston, MA 02215"
61,71836,iPhone,1,700,07/27/2020 12:58:23,"5437 Church St, Portland, OR 97035"
62,71837,USB-C Charging Cable,1,11.95,07/10/2020 19:38:27,"7108 7th St, San Francisco, CA 94016"
63,71838,USB-C Charging Cable,1,11.95,07/19/2020 01:26:24,"7313 Spruce St, Seattle, WA 98101"
64,71839,34in Ultrawide Monitor,1,379.99,07/13/2020 15:27:34,"6452 14th St, Austin, TX 73301"
65,71840,Wired Headphones,1,11.99,07/24/2020 16:23:42,"826 Center St, Seattle, WA 98101"
66,71841,Vareebadd Phone,1,400,07/13/2020 20:29:09,"96 Hill St, San Francisco, CA 94016"
