,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,50660,AA Batteries (4-pack),1,3.84,05/23/2020 17:43:19,"1672 Chestnut St, San Francisco, CA 94016"
1,50661,AA Batteries (4-pack),1,3.84,05/26/2020 00:11:35,"6239 Center St, Los Angeles, CA 90001"
2,50662,Apple Airpods Headphones,1,150.0,05/21/2020 19:47:58,"8482 5th St, New York City, NY 10001"
3,50663,AA Batteries (4-pack),1,3.84,05/26/2020 11:15:45,"5092 Chestnut St, Dallas, TX 75001"
4,50664,Bose SoundSport Headphones,1,99.99,05/22/2020 11:39:49,"6201 West St, Los Angeles, CA 90001"
5,50665,Apple Airpods Headphones,1,150.0,05/08/2020 09:35:12,"8769 Church St, Atlanta, GA 30301"
6,50666,34in Ultrawide Monitor,1,379.99,05/11/2020 19:17:26,"2728 14th St, Los Angeles, CA 90001"
7,50667,Flatscreen TV,1,300.0,05/22/2020 13:57:25,"2403 West St, New York City, NY 10001"
8,50668,iPhone,1,700.0,05/08/2020 15:08:04,"7925 1st St, Dallas, TX 75001"
9,50669,Lightning Charging Cable,1,14.95,05/12/2020 10:28:26,"3311 Park St, San Francisco, CA 94016"
10,50670,AA Batteries (4-pack),1,3.84,05/17/2020 00:35:08,"1013 1st St, Seattle, WA 98101"
11,50671,Flatscreen TV,1,300.0,05/22/2020 17:59:52,"223 Willow St, San Francisco, CA 94016"
12,50672,USB-C Charging Cable,1,11.95,05/11/2020 19:51:02,"4233 12th St, Los Angeles, CA 90001"
13,50673,Apple Airpods Headphones,1,150.0,05/24/2020 22:13:01,"3225 Spruce St, San Francisco, CA 94016"
14,50674,Wired Headphones,1,11.99,05/28/2020 17:32:11,"4311 Church St, Dallas, TX 75001"
15,50675,AA Batteries (4-pack),1,3.84,05/24/2020 14:08:37,"4751 South St, Los Angeles, CA 90001"
16,50676,iPhone,1,700.0,05/30/2020 19:53:19,"2387 Walnut St, San Francisco, CA 94016"
17,50677,Lightning Charging Cable,1,14.95,05/25/2020 11:51:49,"9756 6th St, Los Angeles, CA 90001"
18,50678,Google Phone,1,600.0,05/11/2020 23:05:09,"7036 Adams St, Seattle, WA 98101"
19,50678,USB-C Charging Cable,1,11.95,05/11/2020 23:05:09,"7036 Adams St, Seattle, WA 98101"
20,50679,Macbook Pro Laptop,1,1700.0,05/22/2020 21:53:54,"41 Maple St, Dallas, TX 75001"
21,50680,Lightning Charging Cable,1,14.95,05/16/2020 07:48:31,"2498 Highland St, Los Angeles, CA 90001"
22,50681,Flatscreen TV,1,300.0,05/18/2020 08:01:25,"5965 Jackson St, Austin, TX 73301"
23,50682,Flatscreen TV,1,300.0,05/09/2020 23:12:51,"582 6th St, San Francisco, CA 94016"
24,50683,Macbook Pro Laptop,1,1700.0,05/12/2020 20:49:29,"3414 Spruce St, Dallas, TX 75001"
25,50683,USB-C Charging Cable,1,11.95,05/12/2020 20:49:29,"3414 Spruce St, Dallas, TX 75001"
26,50684,AA Batteries (4-pack),1,3.84,05/18/2020 11:25:47,"1357 Chestnut St, Boston, MA 02215"
27,50685,AA Batteries (4-pack),1,3.84,05/18/2020 13:41:27,"992 Maple St, San Francisco, CA 94016"
28,50686,Apple Airpods Headphones,1,150.0,05/12/2020 13:54:53,"8254 13th St, Atlanta, GA 30301"
29,50687,20in Monitor,1,109.99,05/30/2020 19:43:44,"3145 Church St, Dallas, TX 75001"
30,50688,USB-C Charging Cable,1,11.95,05/04/2020 19:32:12,"9737 South St, Atlanta, GA 30301"
31,50689,USB-C Charging Cable,1,11.95,05/24/2020 20:41:55,"280 Maple St, Seattle, WA 98101"
32,50690,Apple Airpods Headphones,1,150.0,05/01/2020 22:36:17,"3128 11th St, Los Angeles, CA 90001"
33,50691,Wired Headphones,1,11.99,05/12/2020 12:00:34,"8115 Center St, Dallas, TX 75001"
34,50692,Bose SoundSport Headphones,2,99.99,05/26/2020 15:28:30,"3579 12th St, Seattle, WA 98101"
35,50693,Wired Headphones,1,11.99,05/18/2020 12:04:20,"3582 Sunset St, San Francisco, CA 94016"
36,50694,Lightning Charging Cable,1,14.95,05/20/2020 15:42:54,"2043 5th St, Los Angeles, CA 90001"
37,50695,34in Ultrawide Monitor,1,379.99,05/22/2020 16:20:09,"7901 Center St, Los Angeles, CA 90001"
38,50696,Bose SoundSport Headphones,1,99.99,05/30/2020 11:22:35,"6159 9th St, Los Angeles, CA 90001"
39,50697,USB-C Charging Cable,1,11.95,05/27/2020 14:48:36,"8923 Forest St, New York City, NY 10001"
40,50698,Wired Headphones,2,11.99,05/04/2020 10:55:01,"7096 14th St, Seattle, WA 98101"
41,50699,Vareebadd Phone,1,400.0,05/25/2020 08:04:38,"6401 North St, Los Angeles, CA 90001"
42,50700,27in 4K Gaming Monitor,1,389.99,05/15/2020 00:39:03,"4937 Johnson St, San Francisco, CA 94016"
43,50701,Bose SoundSport Headphones,1,99.99,05/09/2020 12:14:31,"1374 Lincoln St, San Francisco, CA 94016"
44,50702,Apple Airpods Headphones,1,150.0,05/26/2020 06:04:09,"3954 2nd St, Los Angeles, CA 90001"
45,50703,AA Batteries (4-pack),1,3.84,05/03/2020 14:31:19,"5942 11th St, San Francisco, CA 94016"
46,50704,Thinkpad Laptop,1,999.99,05/30/2020 11:42:06,"6998 13th St, New York City, NY 10001"
47,50705,AAA Batteries (4-pack),2,2.99,05/25/2020 21:04:44,"7683 Johnson St, Los Angeles, CA 90001"
48,50706,USB-C Charging Cable,1,11.95,05/12/2020 19:25:53,"7092 Jefferson St, San Francisco, CA 94016"
49,50707,Lightning Charging Cable,1,14.95,05/24/2020 12:28:53,"1445 Adams St, Los Angeles, CA 90001"
50,50708,AA Batteries (4-pack),1,3.84,05/14/2020 18:25:35,"9254 7th St, Portland, OR 97035"
51,50709,Macbook Pro Laptop,1,1700.0,05/15/2020 12:50:28,"8727 Lincoln St, Boston, MA 02215"
52,50710,AAA Batteries (4-pack),1,2.99,05/14/2020 15:51:55,"9939 Johnson St, San Francisco, CA 94016"
53,50711,AA Batteries (4-pack),1,3.84,05/18/2020 20:28:11,"17 4th St, Atlanta, GA 30301"
54,50712,LG Dryer,1,600.0,05/29/2020 10:33:20,"3939 Lake St, San Francisco, CA 94016"
55,50713,Google Phone,1,600.0,05/07/2020 14:02:40,"8161 Walnut St, Boston, MA 02215"
56,50713,USB-C Charging Cable,1,11.95,05/07/2020 14:02:40,"8161 Walnut St, Boston, MA 02215"
57,50714,Wired Headphones,1,11.99,05/11/2020 11:16:33,"2967 Pine St, Los Angeles, CA 90001"
