,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,95708,Flatscreen TV,1,300,09/18/2020 00:21:42,"739 Willow St, Boston, MA 02215"
1,95709,Bose SoundSport Headphones,1,99.99,09/19/2020 19:26:31,"9531 Ridge St, San Francisco, CA 94016"
2,95710,Bose SoundSport Headphones,1,99.99,09/17/2020 20:56:45,"1639 4th St, San Francisco, CA 94016"
3,95711,LG Washing Machine,1,600.0,09/04/2020 13:20:29,"9190 1st St, Austin, TX 73301"
4,95712,USB-C Charging Cable,1,11.95,09/30/2020 06:45:19,"5552 Hill St, Boston, MA 02215"
5,95713,USB-C Charging Cable,1,11.95,09/29/2020 16:22:48,"9016 8th St, San Francisco, CA 94016"
6,95714,USB-C Charging Cable,1,11.95,09/14/2020 22:51:27,"9794 Church St, New York City, NY 10001"
7,95715,AA Batteries (4-pack),1,3.84,09/01/2020 19:37:37,"7225 Maple St, Dallas, TX 75001"
8,95716,Lightning Charging Cable,1,14.95,09/18/2020 11:13:06,"5086 Forest St, Seattle, WA 98101"
9,95717,Bose SoundSport Headphones,1,99.99,09/16/2020 11:30:55,"7710 Lake St, Atlanta, GA 30301"
10,95718,20in Monitor,1,109.99,09/21/2020 15:45:03,"3949 Chestnut St, Boston, MA 02215"
11,95719,34in Ultrawide Monitor,1,379.99,09/21/2020 18:44:45,"9777 10th St, Austin, TX 73301"
12,95720,Apple Airpods Headphones,1,150,09/02/2020 03:23:59,"4632 Washington St, New York City, NY 10001"
13,95721,Lightning Charging Cable,1,14.95,09/20/2020 13:10:44,"8967 Madison St, Los Angeles, CA 90001"
14,95722,Flatscreen TV,1,300,09/19/2020 02:32:00,"5308 Jefferson St, San Francisco, CA 94016"
15,95723,USB-C Charging Cable,1,11.95,09/30/2020 12:45:14,"7897 Madison St, Dallas, TX 75001"
16,95724,Lightning Charging Cable,2,14.95,09/26/2020 17:03:19,"5104 Madison St, San Francisco, CA 94016"
17,95725,AA Batteries (4-pack),1,3.84,09/30/2020 13:36:27,"9128 West St, Dallas, TX 75001"
18,95726,AAA Batteries (4-pack),3,2.99,09/07/2020 18:48:20,"5068 Maple St, San Francisco, CA 94016"
19,95727,USB-C Charging Cable,2,11.95,09/15/2020 19:54:24,"6059 Main St, San Francisco, CA 94016"
20,95728,USB-C Charging Cable,1,11.95,09/22/2020 17:26:39,"5813 Dogwood St, Los Angeles, CA 90001"
21,95729,Bose SoundSport Headphones,1,99.99,09/09/2020 17:55:06,"2954 11th St, Dallas, TX 75001"
22,95730,Lightning Charging Cable,1,14.95,09/23/2020 16:37:54,"6896 Cherry St, San Francisco, CA 94016"
23,95731,AA Batteries (4-pack),1,3.84,09/05/2020 19:57:25,"1378 7th St, Los Angeles, CA 90001"
24,95732,Apple Airpods Headphones,1,150,09/18/2020 18:56:26,"6066 Pine St, San Francisco, CA 94016"
25,95733,Thinkpad Laptop,1,999.99,09/22/2020 14:03:54,"1604 Pine St, San Francisco, CA 94016"
26,95734,Bose SoundSport Headphones,1,99.99,09/02/2020 22:44:20,"9230 Walnut St, Dallas, TX 75001"
27,95735,USB-C Charging Cable,1,11.95,09/18/2020 10:57:59,"4633 4th St, Boston, MA 02215"
28,95736,AAA Batteries (4-pack),1,2.99,09/10/2020 08:02:43,"1428 9th St, San Francisco, CA 94016"
29,95737,Thinkpad Laptop,1,999.99,09/11/2020 00:54:09,"6192 1st St, New York City, NY 10001"
30,95738,USB-C Charging Cable,1,11.95,09/26/2020 20:45:56,"5407 Elm St, Seattle, WA 98101"
31,95739,USB-C Charging Cable,1,11.95,09/11/2020 00:21:57,"9922 7th St, Dallas, TX 75001"
32,95740,Lightning Charging Cable,1,14.95,09/05/2020 16:35:34,"6921 North St, Austin, TX 73301"
33,95741,Macbook Pro Laptop,1,1700,09/11/2020 13:35:03,"3650 Lincoln St, Boston, MA 02215"
34,95742,Bose SoundSport Headphones,1,99.99,09/01/2020 20:15:40,"7047 Hill St, San Francisco, CA 94016"
35,95743,Apple Airpods Headphones,1,150,09/28/2020 13:54:08,"661 Meadow St, Atlanta, GA 30301"
