,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,62547,Bose SoundSport Headphones,1,99.99,06/13/2020 09:05:52,"7012 5th St, Austin, TX 73301"
1,62548,Thinkpad Laptop,1,999.99,06/20/2020 19:34:26,"3196 Dogwood St, Atlanta, GA 30301"
2,62549,34in Ultrawide Monitor,1,379.99,06/05/2020 16:25:56,"2684 River St, Seattle, WA 98101"
3,62550,Google Phone,1,600.0,06/30/2020 13:03:37,"382 11th St, Austin, TX 73301"
4,62551,AA Batteries (4-pack),1,3.84,06/20/2020 16:28:53,"5119 Center St, New York City, NY 10001"
5,62552,Macbook Pro Laptop,1,1700.0,06/03/2020 14:02:09,"6735 Sunset St, San Francisco, CA 94016"
6,62553,Bose SoundSport Headphones,1,99.99,06/15/2020 14:03:34,"2126 Walnut St, Dallas, TX 75001"
7,62554,LG Washing Machine,1,600.0,06/08/2020 14:21:38,"4380 Cherry St, San Francisco, CA 94016"
8,62555,USB-C Charging Cable,1,11.95,06/08/2020 22:05:45,"1901 Washington St, Austin, TX 73301"
9,62556,Lightning Charging Cable,1,14.95,06/02/2020 21:19:02,"8226 Lincoln St, San Francisco, CA 94016"
10,62557,27in 4K Gaming Monitor,1,389.99,06/28/2020 18:12:39,"3209 Johnson St, New York City, NY 10001"
11,62558,Lightning Charging Cable,1,14.95,06/28/2020 10:20:06,"8272 Lakeview St, Dallas, TX 75001"
12,62559,Bose SoundSport Headphones,1,99.99,06/22/2020 18:07:42,"5635 Park St, New York City, NY 10001"
13,62560,Bose SoundSport Headphones,1,99.99,06/29/2020 06:58:59,"6723 Spruce St, Dallas, TX 75001"
14,62561,Apple Airpods Headphones,1,150.0,06/21/2020 08:34:40,"5120 Washington St, Los Angeles, CA 90001"
15,62562,Lightning Charging Cable,1,14.95,06/02/2020 10:34:17,"7446 Spruce St, Dallas, TX 75001"
16,62563,AAA Batteries (4-pack),1,2.99,06/27/2020 18:53:50,"7010 6th St, Seattle, WA 98101"
17,62564,AAA Batteries (4-pack),1,2.99,06/11/2020 09:59:00,"2911 Lake St, Seattle, WA 98101"
18,62565,AA Batteries (4-pack),3,3.84,06/08/2020 16:24:14,"7214 Spruce St, Portland, ME 04101"
19,62566,34in Ultrawide Monitor,1,379.99,06/21/2020 01:32:41,"6794 Main St, Seattle, WA 98101"
20,62567,Lightning Charging Cable,1,14.95,06/21/2020 14:50:56,"1845 River St, Los Angeles, CA 90001"
21,62568,Apple Airpods Headphones,1,150.0,06/22/2020 20:14:22,"7978 Park St, San Francisco, CA 94016"
22,62569,Lightning Charging Cable,1,14.95,06/06/2020 12:05:03,"4553 Johnson St, Los Angeles, CA 90001"
23,62570,Vareebadd Phone,1,400.0,06/27/2020 20:25:33,"1111 14th St, Los Angeles, CA 90001"
24,62571,27in 4K Gaming Monitor,1,389.99,06/15/2020 12:54:07,"7229 Sunset St, San Francisco, CA 94016"
25,62572,USB-C Charging Cable,1,11.95,06/01/2020 17:19:59,"4805 Highland St, Los Angeles, CA 90001"
26,62573,Thinkpad Laptop,1,999.99,06/01/2020 21:25:25,"7060 13th St, Austin, TX 73301"
27,62574,AA Batteries (4-pack),2,3.84,06/15/2020 12:32:38,"3365 Hill St, Boston, MA 02215"
28,62575,27in 4K Gaming Monitor,1,389.99,06/30/2020 15:34:07,"7495 11th St, New York City, NY 10001"
29,62576,Lightning Charging Cable,1,14.95,06/27/2020 13:16:18,"362 13th St, New York City, NY 10001"
30,62577,Macbook Pro Laptop,1,1700.0,06/08/2020 21:01:35,"5510 Park St, Portland, OR 97035"
31,62578,Bose SoundSport Headphones,1,99.99,06/18/2020 17:19:12,"727 Center St, San Francisco, CA 94016"
32,62579,USB-C Charging Cable,1,11.95,06/14/2020 17:17:50,"999 7th St, San Francisco, CA 94016"
33,62580,AA Batteries (4-pack),1,3.84,06/28/2020 23:10:53,"4888 Lincoln St, Los Angeles, CA 90001"
34,62581,Lightning Charging Cable,1,14.95,06/06/2020 15:56:34,"2709 1st St, San Francisco, CA 94016"
35,62582,27in 4K Gaming Monitor,1,389.99,06/22/2020 14:35:10,"8281 Park St, Boston, MA 02215"
36,62583,34in Ultrawide Monitor,1,379.99,06/24/2020 17:39:31,"4226 River St, Portland, OR 97035"
37,62584,34in Ultrawide Monitor,1,379.99,07/01/2020 00:47:14,"7236 Johnson St, San Francisco, CA 94016"
38,62585,USB-C Charging Cable,1,11.95,06/06/2020 01:25:30,"2065 Jackson St, Dallas, TX 75001"
39,62586,AA Batteries (4-pack),1,3.84,06/23/2020 22:11:56,"1210 Jackson St, New York City, NY 10001"
40,62587,34in Ultrawide Monitor,1,379.99,06/29/2020 19:48:28,"3960 5th St, San Francisco, CA 94016"
41,62587,USB-C Charging Cable,1,11.95,06/29/2020 19:48:28,"3960 5th St, San Francisco, CA 94016"
42,62588,Lightning Charging Cable,1,14.95,06/13/2020 10:12:16,"7694 2nd St, Austin, TX 73301"
43,62589,AA Batteries (4-pack),1,3.84,06/09/2020 23:20:37,"9619 2nd St, Dallas, TX 75001"
44,62590,Wired Headphones,1,11.99,06/02/2020 12:46:14,"8144 Johnson St, Atlanta, GA 30301"
45,62591,LG Dryer,1,600.0,06/09/2020 17:36:29,"2354 10th St, Los Angeles, CA 90001"
46,62592,Lightning Charging Cable,1,14.95,06/10/2020 17:44:36,"397 1st St, San Francisco, CA 94016"
47,62593,Wired Headphones,1,11.99,06/15/2020 12:02:23,"395 9th St, Austin, TX 73301"
48,62594,27in 4K Gaming Monitor,1,389.99,06/23/2020 13:43:36,"2737 9th St, Los Angeles, CA 90001"
49,62595,USB-C Charging Cable,1,11.95,06/16/2020 19:52:39,"6821 Sunset St, Austin, TX 73301"
50,62596,AA Batteries (4-pack),3,3.84,06/07/2020 20:44:39,"3939 Sunset St, Boston, MA 02215"
51,62597,Thinkpad Laptop,1,999.99,06/19/2020 21:59:09,"5882 Ridge St, Portland, OR 97035"
52,62598,USB-C Charging Cable,1,11.95,06/24/2020 06:00:56,"1129 Johnson St, Los Angeles, CA 90001"
53,62599,AA Batteries (4-pack),1,3.84,06/11/2020 20:00:17,"2627 Madison St, Los Angeles, CA 90001"
54,62600,Lightning Charging Cable,1,14.95,06/20/2020 08:37:59,"4189 Spruce St, New York City, NY 10001"
55,62601,20in Monitor,1,109.99,06/13/2020 10:45:28,"9490 14th St, San Francisco, CA 94016"
56,62602,Apple Airpods Headphones,1,150.0,06/22/2020 12:21:21,"6545 Madison St, Boston, MA 02215"
57,62603,Apple Airpods Headphones,1,150.0,06/01/2020 12:54:46,"2435 9th St, San Francisco, CA 94016"
58,62604,AA Batteries (4-pack),1,3.84,06/10/2020 20:19:21,"6458 5th St, New York City, NY 10001"
59,62605,AA Batteries (4-pack),1,3.84,06/21/2020 08:31:57,"5626 Hill St, San Francisco, CA 94016"
60,62606,USB-C Charging Cable,1,11.95,06/07/2020 18:14:33,"7444 Madison St, Seattle, WA 98101"
61,62607,AA Batteries (4-pack),1,3.84,06/23/2020 21:41:46,"3569 Lake St, San Francisco, CA 94016"
62,62608,27in 4K Gaming Monitor,1,389.99,06/20/2020 14:43:21,"182 North St, Dallas, TX 75001"
63,62609,Apple Airpods Headphones,1,150.0,06/07/2020 16:06:56,"6523 1st St, San Francisco, CA 94016"
64,62610,20in Monitor,1,109.99,06/17/2020 09:15:35,"7509 Maple St, New York City, NY 10001"
65,62611,USB-C Charging Cable,1,11.95,06/28/2020 21:39:20,"4205 11th St, Dallas, TX 75001"
66,62612,Flatscreen TV,1,300.0,06/30/2020 00:38:21,"7087 4th St, Portland, OR 97035"
67,62613,USB-C Charging Cable,1,11.95,06/12/2020 16:47:26,"1111 Church St, San Francisco, CA 94016"
68,62614,Lightning Charging Cable,1,14.95,06/10/2020 06:26:45,"6679 Ridge St, New York City, NY 10001"
69,62615,Wired Headphones,1,11.99,06/05/2020 13:46:12,"3595 South St, Boston, MA 02215"
70,62616,USB-C Charging Cable,1,11.95,06/25/2020 13:48:43,"5614 2nd St, San Francisco, CA 94016"
71,62617,AA Batteries (4-pack),2,3.84,06/22/2020 18:07:58,"1491 Dogwood St, New York City, NY 10001"
72,62618,AA Batteries (4-pack),1,3.84,06/29/2020 16:59:00,"6969 North St, San Francisco, CA 94016"
73,62619,Flatscreen TV,1,300.0,06/29/2020 21:59:34,"8708 10th St, San Francisco, CA 94016"
74,62620,iPhone,1,700.0,06/12/2020 08:46:48,"2277 2nd St, New York City, NY 10001"
75,62621,USB-C Charging Cable,1,11.95,06/14/2020 14:13:02,"9739 Elm St, New York City, NY 10001"
76,62622,Bose SoundSport Headphones,1,99.99,06/16/2020 13:06:41,"6212 West St, Los Angeles, CA 90001"
77,62623,Google Phone,1,600.0,06/03/2020 20:12:20,"805 West St, San Francisco, CA 94016"
78,62624,Wired Headphones,1,11.99,06/10/2020 10:19:09,"7756 1st St, San Francisco, CA 94016"
79,62625,Lightning Charging Cable,1,14.95,06/18/2020 12:11:14,"972 Wilson St, Boston, MA 02215"
80,62626,Wired Headphones,1,11.99,06/07/2020 10:22:03,"5914 11th St, Atlanta, GA 30301"
81,62627,Google Phone,1,600.0,06/20/2020 14:15:05,"4673 11th St, Dallas, TX 75001"
82,62628,27in 4K Gaming Monitor,1,389.99,06/03/2020 17:09:45,"2657 Forest St, Portland, OR 97035"
83,62629,USB-C Charging Cable,1,11.95,06/26/2020 11:29:27,"6548 Park St, Los Angeles, CA 90001"
84,62630,AA Batteries (4-pack),1,3.84,06/10/2020 16:06:41,"2110 7th St, Los Angeles, CA 90001"
85,62631,34in Ultrawide Monitor,1,379.99,06/19/2020 08:04:18,"7014 Cedar St, Dallas, TX 75001"
86,62632,Wired Headphones,1,11.99,06/05/2020 14:11:14,"5081 Main St, Austin, TX 73301"
87,62633,USB-C Charging Cable,1,11.95,06/13/2020 14:34:15,"6209 Jackson St, Boston, MA 02215"
88,62634,34in Ultrawide Monitor,1,379.99,06/29/2020 22:12:27,"2424 Hill St, San Francisco, CA 94016"
89,62635,Flatscreen TV,1,300.0,06/15/2020 10:25:42,"6421 Cedar St, Boston, MA 02215"
90,62636,iPhone,1,700.0,06/22/2020 18:37:09,"5333 Hill St, New York City, NY 10001"
91,62636,Apple Airpods Headphones,1,150.0,06/22/2020 18:37:09,"5333 Hill St, New York City, NY 10001"
92,62637,Thinkpad Laptop,1,999.99,06/29/2020 11:37:01,"7976 Washington St, Boston, MA 02215"
93,62638,Wired Headphones,2,11.99,06/23/2020 14:21:11,"3782 Spruce St, Seattle, WA 98101"
94,62639,Lightning Charging Cable,1,14.95,06/29/2020 13:45:16,"9456 9th St, Seattle, WA 98101"
95,62640,Apple Airpods Headphones,1,150.0,06/12/2020 13:15:34,"635 Hill St, Los Angeles, CA 90001"
96,62641,Apple Airpods Headphones,1,150.0,06/17/2020 18:16:37,"5983 Hickory St, Los Angeles, CA 90001"
97,62642,Google Phone,1,600.0,06/28/2020 07:31:36,"8011 6th St, San Francisco, CA 94016"
98,62643,Lightning Charging Cable,1,14.95,06/22/2020 18:25:36,"7047 Wilson St, San Francisco, CA 94016"
99,62644,USB-C Charging Cable,1,11.95,06/17/2020 15:16:41,"5729 Main St, San Francisco, CA 94016"
100,62645,Wired Headphones,1,11.99,06/05/2020 09:33:55,"1291 9th St, Seattle, WA 98101"
101,62646,AA Batteries (4-pack),1,3.84,06/05/2020 11:22:51,"835 7th St, Boston, MA 02215"
102,62647,Apple Airpods Headphones,1,150.0,06/30/2020 20:43:50,"9255 Church St, Los Angeles, CA 90001"
