,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,22683,USB-C Charging Cable,1,11.95,03/12/2020 07:14:55,"6515 10th St, Atlanta, GA 30301"
1,22684,AA Batteries (4-pack),1,3.84,03/25/2020 10:12:43,"4586 Washington St, Los Angeles, CA 90001"
2,22685,Apple Airpods Headphones,1,150.0,03/05/2020 21:22:59,"4317 Madison St, Los Angeles, CA 90001"
3,22686,Apple Airpods Headphones,1,150.0,03/18/2020 15:27:40,"1428 Highland St, Seattle, WA 98101"
4,22687,Flatscreen TV,1,300.0,03/03/2020 01:11:19,"7390 1st St, Boston, MA 02215"
5,22688,USB-C Charging Cable,1,11.95,03/03/2020 13:50:23,"532 4th St, New York City, NY 10001"
6,22689,Wired Headphones,1,11.99,03/29/2020 09:53:08,"3691 North St, New York City, NY 10001"
7,22690,USB-C Charging Cable,1,11.95,03/03/2020 07:03:20,"5317 North St, Boston, MA 02215"
8,22691,USB-C Charging Cable,1,11.95,03/02/2020 15:29:40,"948 Madison St, Boston, MA 02215"
9,22692,USB-C Charging Cable,1,11.95,03/27/2020 07:14:35,"714 Willow St, Los Angeles, CA 90001"
10,22693,Bose SoundSport Headphones,1,99.99,03/07/2020 22:06:01,"3664 4th St, Atlanta, GA 30301"
11,22694,Bose SoundSport Headphones,1,99.99,03/16/2020 13:06:13,"6235 2nd St, Atlanta, GA 30301"
12,22695,20in Monitor,1,109.99,03/06/2020 14:20:30,"4564 Adams St, Los Angeles, CA 90001"
13,22696,AA Batteries (4-pack),1,3.84,03/04/2020 14:57:28,"6432 Church St, Los Angeles, CA 90001"
14,22697,Wired Headphones,1,11.99,03/27/2020 09:53:32,"3724 Willow St, Boston, MA 02215"
15,22698,Thinkpad Laptop,1,999.99,03/13/2020 19:04:46,"4561 Ridge St, San Francisco, CA 94016"
16,22699,Thinkpad Laptop,1,999.99,03/22/2020 19:24:41,"2469 Lakeview St, Atlanta, GA 30301"
17,22700,AA Batteries (4-pack),1,3.84,03/12/2020 17:55:09,"2947 Lincoln St, Seattle, WA 98101"
18,22701,34in Ultrawide Monitor,1,379.99,03/22/2020 16:43:13,"6668 Center St, New York City, NY 10001"
19,22701,Google Phone,1,600.0,03/22/2020 16:43:13,"6668 Center St, New York City, NY 10001"
20,22702,Apple Airpods Headphones,1,150.0,03/09/2020 20:21:51,"1540 River St, San Francisco, CA 94016"
21,22703,Bose SoundSport Headphones,1,99.99,03/28/2020 18:14:17,"9479 Walnut St, Atlanta, GA 30301"
22,22704,34in Ultrawide Monitor,1,379.99,03/29/2020 11:29:15,"7394 Lakeview St, Boston, MA 02215"
23,22705,Bose SoundSport Headphones,1,99.99,03/12/2020 22:37:01,"1506 4th St, Atlanta, GA 30301"
24,22706,Thinkpad Laptop,1,999.99,03/14/2020 13:40:51,"4380 Spruce St, San Francisco, CA 94016"
25,22707,Google Phone,1,600.0,03/01/2020 09:16:14,"359 Meadow St, Boston, MA 02215"
26,22707,USB-C Charging Cable,1,11.95,03/01/2020 09:16:14,"359 Meadow St, Boston, MA 02215"
27,22708,LG Dryer,1,600.0,03/06/2020 17:12:58,"9554 14th St, San Francisco, CA 94016"
28,22709,Wired Headphones,1,11.99,03/02/2020 17:16:52,"3916 Maple St, Los Angeles, CA 90001"
29,22709,34in Ultrawide Monitor,1,379.99,03/02/2020 17:16:52,"3916 Maple St, Los Angeles, CA 90001"
30,22710,Bose SoundSport Headphones,1,99.99,03/26/2020 08:10:12,"7347 Dogwood St, San Francisco, CA 94016"
31,22711,USB-C Charging Cable,1,11.95,03/12/2020 21:53:10,"5806 Lake St, Austin, TX 73301"
32,22712,20in Monitor,1,109.99,03/12/2020 11:24:02,"3361 14th St, Austin, TX 73301"
33,22713,Google Phone,1,600.0,03/09/2020 21:15:18,"1107 South St, Portland, OR 97035"
34,22714,USB-C Charging Cable,1,11.95,03/19/2020 21:21:09,"6100 14th St, San Francisco, CA 94016"
35,22715,LG Dryer,1,600.0,03/09/2020 19:29:59,"5387 10th St, New York City, NY 10001"
36,22716,Lightning Charging Cable,1,14.95,03/25/2020 12:37:15,"6849 Church St, Seattle, WA 98101"
37,22717,Google Phone,1,600.0,03/10/2020 07:36:14,"1602 Willow St, Boston, MA 02215"
38,22718,Flatscreen TV,1,300.0,03/30/2020 14:38:07,"5283 Cedar St, Dallas, TX 75001"
39,22719,AA Batteries (4-pack),1,3.84,03/05/2020 12:41:58,"8254 Center St, Atlanta, GA 30301"
40,22720,AA Batteries (4-pack),1,3.84,03/13/2020 16:40:06,"5539 Sunset St, Los Angeles, CA 90001"
41,22721,27in FHD Monitor,1,149.99,03/26/2020 15:54:31,"2629 Sunset St, Los Angeles, CA 90001"
42,22722,AA Batteries (4-pack),2,3.84,03/16/2020 12:42:20,"865 Cherry St, Seattle, WA 98101"
43,22723,Google Phone,1,600.0,03/19/2020 16:45:54,"1633 6th St, Portland, OR 97035"
44,22723,USB-C Charging Cable,1,11.95,03/19/2020 16:45:54,"1633 6th St, Portland, OR 97035"
45,22724,Lightning Charging Cable,1,14.95,03/07/2020 16:17:20,"1204 Jackson St, San Francisco, CA 94016"
46,22725,Wired Headphones,1,11.99,03/13/2020 15:26:14,"1912 Lakeview St, Los Angeles, CA 90001"
47,22726,Thinkpad Laptop,1,999.99,03/01/2020 22:12:43,"5939 2nd St, Seattle, WA 98101"
48,22727,iPhone,1,700.0,03/07/2020 15:11:35,"4736 Sunset St, Seattle, WA 98101"
49,22728,Macbook Pro Laptop,1,1700.0,03/03/2020 14:34:58,"3203 Hill St, New York City, NY 10001"
50,22729,AA Batteries (4-pack),1,3.84,03/05/2020 17:47:54,"4100 Pine St, San Francisco, CA 94016"
51,22730,34in Ultrawide Monitor,1,379.99,03/16/2020 23:38:14,"7488 Meadow St, Portland, OR 97035"
52,22731,Lightning Charging Cable,1,14.95,03/21/2020 15:20:25,"9720 South St, Portland, OR 97035"
53,22732,USB-C Charging Cable,1,11.95,03/31/2020 11:27:42,"5505 Forest St, San Francisco, CA 94016"
54,22733,AA Batteries (4-pack),1,3.84,03/22/2020 11:11:39,"2302 Elm St, San Francisco, CA 94016"
55,22734,27in 4K Gaming Monitor,1,389.99,03/22/2020 20:54:49,"6148 Lakeview St, New York City, NY 10001"
56,22735,Bose SoundSport Headphones,1,99.99,03/19/2020 11:34:25,"7482 6th St, Los Angeles, CA 90001"
57,22736,AA Batteries (4-pack),1,3.84,03/17/2020 15:14:27,"5894 12th St, San Francisco, CA 94016"
58,22737,34in Ultrawide Monitor,1,379.99,03/22/2020 17:00:22,"7426 Chestnut St, San Francisco, CA 94016"
59,22738,Thinkpad Laptop,1,999.99,03/01/2020 09:20:50,"4406 Cedar St, San Francisco, CA 94016"
60,22739,USB-C Charging Cable,1,11.95,03/25/2020 16:23:16,"7070 12th St, New York City, NY 10001"
61,22740,20in Monitor,1,109.99,03/27/2020 13:14:41,"7357 River St, Seattle, WA 98101"
62,22741,Macbook Pro Laptop,1,1700.0,03/15/2020 12:59:49,"1069 North St, Boston, MA 02215"
63,22742,AAA Batteries (4-pack),1,2.99,03/24/2020 22:20:43,"5718 Park St, San Francisco, CA 94016"
64,22743,USB-C Charging Cable,1,11.95,03/24/2020 12:42:23,"7223 Forest St, San Francisco, CA 94016"
65,22744,AA Batteries (4-pack),1,3.84,03/26/2020 22:04:07,"3486 Washington St, San Francisco, CA 94016"
66,22745,34in Ultrawide Monitor,1,379.99,03/07/2020 22:14:18,"8941 Meadow St, San Francisco, CA 94016"
67,22746,Lightning Charging Cable,1,14.95,03/20/2020 18:24:08,"5606 Center St, Seattle, WA 98101"
68,22747,AA Batteries (4-pack),1,3.84,03/31/2020 14:27:21,"5518 Ridge St, Boston, MA 02215"
69,22748,USB-C Charging Cable,1,11.95,03/21/2020 21:54:39,"2624 Cedar St, Los Angeles, CA 90001"
70,22749,AA Batteries (4-pack),2,3.84,03/01/2020 10:55:22,"8735 2nd St, Los Angeles, CA 90001"
71,22750,USB-C Charging Cable,1,11.95,03/05/2020 11:33:33,"7695 Pine St, Boston, MA 02215"
72,22751,Flatscreen TV,1,300.0,03/28/2020 17:23:00,"4358 5th St, San Francisco, CA 94016"
73,22752,AA Batteries (4-pack),1,3.84,03/10/2020 08:58:12,"5446 Jackson St, Los Angeles, CA 90001"
74,22753,USB-C Charging Cable,1,11.95,03/21/2020 11:38:10,"1891 South St, Boston, MA 02215"
75,22754,Wired Headphones,1,11.99,03/06/2020 00:08:16,"3919 Main St, Seattle, WA 98101"
76,22755,LG Dryer,1,600.0,03/13/2020 14:41:19,"8537 12th St, Dallas, TX 75001"
77,22756,Lightning Charging Cable,1,14.95,03/05/2020 21:34:04,"1555 12th St, Dallas, TX 75001"
78,22757,Wired Headphones,1,11.99,03/08/2020 17:33:40,"5761 Johnson St, Austin, TX 73301"
79,22758,Bose SoundSport Headphones,1,99.99,03/31/2020 13:15:24,"3079 Park St, Boston, MA 02215"
80,22759,Flatscreen TV,1,300.0,03/10/2020 21:14:31,"7795 Walnut St, San Francisco, CA 94016"
81,22760,AA Batteries (4-pack),1,3.84,03/17/2020 14:26:10,"419 Spruce St, Los Angeles, CA 90001"
82,22761,Thinkpad Laptop,1,999.99,03/01/2020 22:22:32,"6926 1st St, Boston, MA 02215"
83,22762,Wired Headphones,1,11.99,03/13/2020 09:41:50,"9725 Lincoln St, Los Angeles, CA 90001"
84,22763,Google Phone,1,600.0,03/06/2020 16:46:46,"4035 4th St, New York City, NY 10001"
85,22764,Bose SoundSport Headphones,1,99.99,03/14/2020 11:08:21,"8940 Hickory St, New York City, NY 10001"
86,22765,Apple Airpods Headphones,1,150.0,03/22/2020 14:12:59,"9427 South St, New York City, NY 10001"
87,22766,Bose SoundSport Headphones,1,99.99,03/04/2020 19:56:06,"4759 Main St, Los Angeles, CA 90001"
88,22767,Lightning Charging Cable,1,14.95,03/14/2020 11:25:05,"1177 Lincoln St, Portland, ME 04101"
89,22768,27in 4K Gaming Monitor,1,389.99,03/31/2020 17:18:03,"8258 13th St, Seattle, WA 98101"
90,22769,USB-C Charging Cable,1,11.95,03/05/2020 18:45:10,"5443 5th St, Austin, TX 73301"
91,22770,34in Ultrawide Monitor,1,379.99,03/26/2020 07:33:51,"3849 Hickory St, San Francisco, CA 94016"
92,22771,iPhone,1,700.0,03/30/2020 23:07:27,"6634 5th St, New York City, NY 10001"
