,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,119065,Wired Headphones,2,11.99,11/08/2020 18:58:58,"6326 Park St, San Francisco, CA 94016"
1,119066,AA Batteries (4-pack),1,3.84,11/20/2020 19:42:28,"3307 River St, San Francisco, CA 94016"
2,119067,Google Phone,1,600.0,11/04/2020 00:39:40,"5673 Meadow St, San Francisco, CA 94016"
3,119067,USB-C Charging Cable,1,11.95,11/04/2020 00:39:40,"5673 Meadow St, San Francisco, CA 94016"
4,119068,AA Batteries (4-pack),1,3.84,11/11/2020 21:12:39,"8914 10th St, San Francisco, CA 94016"
5,119069,AA Batteries (4-pack),2,3.84,11/29/2020 20:45:16,"3227 Madison St, New York City, NY 10001"
6,119070,Lightning Charging Cable,1,14.95,11/14/2020 17:51:13,"9775 9th St, Seattle, WA 98101"
7,119071,AAA Batteries (4-pack),2,2.99,11/23/2020 21:27:14,"5453 14th St, Atlanta, GA 30301"
8,119072,USB-C Charging Cable,1,11.95,11/24/2020 18:39:24,"4596 Church St, Boston, MA 02215"
9,119073,Apple Airpods Headphones,1,150.0,11/30/2020 19:49:03,"3098 Park St, Los Angeles, CA 90001"
10,119074,Bose SoundSport Headphones,1,99.99,11/05/2020 18:21:58,"1740 6th St, New York City, NY 10001"
11,119075,Google Phone,1,600.0,11/11/2020 22:02:30,"6107 Cherry St, New York City, NY 10001"
12,119076,27in FHD Monitor,1,149.99,11/01/2020 04:09:07,"6631 Jefferson St, Atlanta, GA 30301"
13,119077,Apple Airpods Headphones,1,150.0,11/12/2020 15:33:55,"2262 Cherry St, New York City, NY 10001"
14,119078,Apple Airpods Headphones,1,150.0,11/08/2020 13:59:36,"5242 Wilson St, San Francisco, CA 94016"
15,119079,Apple Airpods Headphones,1,150.0,11/27/2020 19:59:04,"8936 Meadow St, Los Angeles, CA 90001"
16,119080,USB-C Charging Cable,1,11.95,11/16/2020 00:42:07,"1821 Madison St, Boston, MA 02215"
17,119081,Apple Airpods Headphones,1,150.0,11/30/2020 08:48:04,"1489 14th St, Portland, ME 04101"
18,119082,Lightning Charging Cable,1,14.95,11/16/2020 22:30:54,"3981 Hill St, San Francisco, CA 94016"
19,119083,Wired Headphones,1,11.99,11/22/2020 23:19:33,"7647 Maple St, San Francisco, CA 94016"
20,119084,27in FHD Monitor,1,149.99,11/25/2020 17:34:18,"4230 Park St, New York City, NY 10001"
21,119085,iPhone,1,700.0,11/02/2020 18:08:14,"9788 Lake St, Los Angeles, CA 90001"
22,119086,USB-C Charging Cable,1,11.95,11/29/2020 07:59:36,"1539 Chestnut St, Boston, MA 02215"
23,119087,USB-C Charging Cable,1,11.95,11/11/2020 19:40:33,"2241 2nd St, Seattle, WA 98101"
24,119088,iPhone,1,700.0,11/25/2020 17:21:27,"4280 5th St, San Francisco, CA 94016"
25,119089,Lightning Charging Cable,1,14.95,11/09/2020 20:09:12,"4636 Johnson St, Los Angeles, CA 90001"
26,119090,USB-C Charging Cable,1,11.95,11/29/2020 14:04:53,"2303 Adams St, Portland, ME 04101"
27,119091,AA Batteries (4-pack),1,3.84,11/17/2020 18:48:04,"7050 Wilson St, Atlanta, GA 30301"
28,119092,USB-C Charging Cable,1,11.95,11/24/2020 15:55:27,"4342 Wilson St, San Francisco, CA 94016"
29,119093,Apple Airpods Headphones,1,150.0,11/22/2020 16:36:54,"4136 North St, Portland, OR 97035"
30,119094,Apple Airpods Headphones,1,150.0,11/22/2020 14:44:50,"9294 Wilson St, Atlanta, GA 30301"
31,119095,Wired Headphones,1,11.99,11/29/2020 09:10:55,"4291 South St, Los Angeles, CA 90001"
32,119096,Apple Airpods Headphones,1,150.0,11/19/2020 09:17:32,"9188 Highland St, New York City, NY 10001"
33,119097,Lightning Charging Cable,1,14.95,11/14/2020 19:43:34,"5335 Forest St, Atlanta, GA 30301"
34,119098,Lightning Charging Cable,1,14.95,11/16/2020 12:07:07,"7255 West St, New York City, NY 10001"
35,119099,Lightning Charging Cable,1,14.95,11/26/2020 08:17:28,"5968 River St, Atlanta, GA 30301"
36,119100,AA Batteries (4-pack),1,3.84,11/12/2020 12:56:45,"5471 Pine St, Atlanta, GA 30301"
37,119101,AAA Batteries (4-pack),1,2.99,11/04/2020 01:35:18,"2167 9th St, Boston, MA 02215"
38,119102,Google Phone,1,600.0,11/03/2020 13:12:21,"1173 Center St, San Francisco, CA 94016"
39,119103,Apple Airpods Headphones,1,150.0,11/09/2020 05:09:36,"6231 8th St, Los Angeles, CA 90001"
40,119104,20in Monitor,1,109.99,11/22/2020 14:44:55,"8394 Chestnut St, New York City, NY 10001"
41,119105,Lightning Charging Cable,1,14.95,11/05/2020 14:46:35,"3656 Meadow St, Atlanta, GA 30301"
42,119106,Flatscreen TV,1,300.0,11/17/2020 22:14:57,"6577 6th St, New York City, NY 10001"
43,119107,USB-C Charging Cable,1,11.95,11/17/2020 21:36:25,"4991 Hill St, Los Angeles, CA 90001"
44,119108,Vareebadd Phone,1,400.0,11/07/2020 12:47:20,"1154 Spruce St, San Francisco, CA 94016"
45,119108,USB-C Charging Cable,1,11.95,11/07/2020 12:47:20,"1154 Spruce St, San Francisco, CA 94016"
46,119109,Macbook Pro Laptop,1,1700.0,11/14/2020 15:25:10,"8061 Sunset St, Dallas, TX 75001"
47,119110,Wired Headphones,1,11.99,11/05/2020 00:16:54,"7429 Maple St, San Francisco, CA 94016"
48,119111,Lightning Charging Cable,1,14.95,11/16/2020 13:09:09,"992 Forest St, Dallas, TX 75001"
49,119112,Bose SoundSport Headphones,1,99.99,11/07/2020 11:13:36,"3239 Cherry St, New York City, NY 10001"
50,119113,USB-C Charging Cable,1,11.95,11/18/2020 12:53:12,"4654 Maple St, San Francisco, CA 94016"
51,119114,Google Phone,1,600.0,11/29/2020 09:50:35,"1686 8th St, San Francisco, CA 94016"
52,119115,AA Batteries (4-pack),2,3.84,11/01/2020 21:56:59,"9305 10th St, Dallas, TX 75001"
53,119116,Apple Airpods Headphones,1,150.0,11/18/2020 18:15:09,"3467 South St, Los Angeles, CA 90001"
54,119117,AA Batteries (4-pack),1,3.84,11/02/2020 22:22:46,"4570 Main St, San Francisco, CA 94016"
55,119118,Apple Airpods Headphones,1,150.0,11/02/2020 13:56:40,"4007 Willow St, Austin, TX 73301"
56,119119,Macbook Pro Laptop,1,1700.0,11/16/2020 22:08:35,"3681 Pine St, Los Angeles, CA 90001"
57,119120,AA Batteries (4-pack),1,3.84,11/04/2020 16:20:28,"2297 Jackson St, Los Angeles, CA 90001"
58,119121,Apple Airpods Headphones,1,150.0,11/30/2020 14:32:17,"323 Pine St, Los Angeles, CA 90001"
59,119122,Wired Headphones,1,11.99,11/16/2020 21:58:31,"872 River St, San Francisco, CA 94016"
60,119123,AA Batteries (4-pack),1,3.84,11/12/2020 21:41:11,"9250 2nd St, Portland, OR 97035"
61,119124,Apple Airpods Headphones,1,150.0,11/18/2020 18:29:48,"9691 Madison St, Los Angeles, CA 90001"
62,119125,Lightning Charging Cable,1,14.95,11/14/2020 19:19:43,"7489 Lakeview St, Boston, MA 02215"
63,119126,AA Batteries (4-pack),1,3.84,11/11/2020 12:52:48,"6418 8th St, San Francisco, CA 94016"
64,119127,Bose SoundSport Headphones,1,99.99,11/23/2020 01:39:14,"2913 Jefferson St, San Francisco, CA 94016"
65,119128,34in Ultrawide Monitor,1,379.99,11/17/2020 14:09:12,"9827 Adams St, Boston, MA 02215"
66,119129,iPhone,1,700.0,11/14/2020 18:57:19,"2792 Sunset St, Boston, MA 02215"
67,119130,USB-C Charging Cable,1,11.95,11/11/2020 20:14:06,"5192 Lincoln St, San Francisco, CA 94016"
68,119131,Apple Airpods Headphones,1,150.0,11/26/2020 01:04:46,"8056 Ridge St, Austin, TX 73301"
69,119132,34in Ultrawide Monitor,1,379.99,11/09/2020 20:54:36,"2944 South St, Dallas, TX 75001"
70,119133,Vareebadd Phone,1,400.0,11/11/2020 20:33:16,"6366 10th St, San Francisco, CA 94016"
71,119134,USB-C Charging Cable,1,11.95,11/28/2020 13:39:29,"6305 Lake St, New York City, NY 10001"
72,119135,Wired Headphones,1,11.99,11/13/2020 22:13:24,"3454 Maple St, San Francisco, CA 94016"
73,119136,Thinkpad Laptop,1,999.99,11/29/2020 15:51:38,"94 Spruce St, Los Angeles, CA 90001"
74,119137,Wired Headphones,1,11.99,11/21/2020 09:35:21,"9637 Willow St, Los Angeles, CA 90001"
75,119138,AAA Batteries (4-pack),1,2.99,11/29/2020 14:16:16,"1447 Spruce St, New York City, NY 10001"
76,119139,Wired Headphones,1,11.99,11/10/2020 14:25:17,"5870 4th St, Austin, TX 73301"
