,Order ID,Product,Quantity,Price Each,Order Date,Purchase Address
0,110188,34in Ultrawide Monitor,1,379.99,10/29/2020 08:28:57,"9222 Church St, Dallas, TX 75001"
1,110189,Wired Headphones,1,11.99,10/28/2020 16:52:25,"3179 River St, New York City, NY 10001"
2,110190,USB-C Charging Cable,1,11.95,10/03/2020 00:10:44,"1719 Hill St, Dallas, TX 75001"
3,110191,USB-C Charging Cable,1,11.95,10/21/2020 13:19:45,"565 Walnut St, San Francisco, CA 94016"
4,110192,Thinkpad Laptop,1,999.99,10/31/2020 16:14:52,"8269 9th St, Los Angeles, CA 90001"
5,110192,USB-C Charging Cable,1,11.95,10/31/2020 16:14:52,"8269 9th St, Los Angeles, CA 90001"
6,110193,Vareebadd Phone,1,400.0,10/23/2020 11:23:03,"8466 North St, New York City, NY 10001"
7,110194,USB-C Charging Cable,1,11.95,10/18/2020 19:43:44,"2687 Main St, Los Angeles, CA 90001"
8,110195,Lightning Charging Cable,1,14.95,10/18/2020 18:47:13,"2281 River St, Portland, OR 97035"
9,110196,Google Phone,1,600.0,10/20/2020 22:53:52,"6118 7th St, San Francisco, CA 94016"
10,110197,USB-C Charging Cable,1,11.95,10/04/2020 11:49:19,"5178 Church St, Seattle, WA 98101"
11,110198,AA Batteries (4-pack),1,3.84,10/15/2020 09:32:23,"7444 Lincoln St, Los Angeles, CA 90001"
12,110199,Lightning Charging Cable,1,14.95,10/19/2020 13:52:19,"4642 Lincoln St, Boston, MA 02215"
13,110200,Google Phone,1,600.0,10/27/2020 18:48:20,"8143 8th St, Los Angeles, CA 90001"
14,110201,Lightning Charging Cable,1,14.95,10/20/2020 20:16:18,"5057 South St, New York City, NY 10001"
15,110202,34in Ultrawide Monitor,1,379.99,10/07/2020 22:16:13,"6575 Lake St, San Francisco, CA 94016"
16,110203,Bose SoundSport Headphones,1,99.99,10/26/2020 18:29:24,"1810 Cedar St, San Francisco, CA 94016"
17,110204,Bose SoundSport Headphones,1,99.99,10/17/2020 13:30:58,"5549 Lakeview St, San Francisco, CA 94016"
18,110205,AA Batteries (4-pack),1,3.84,10/04/2020 21:39:36,"2691 Adams St, New York City, NY 10001"
19,110206,Bose SoundSport Headphones,1,99.99,10/03/2020 10:58:47,"9172 Elm St, San Francisco, CA 94016"
20,110207,Lightning Charging Cable,1,14.95,10/17/2020 18:26:36,"2972 West St, San Francisco, CA 94016"
21,110208,Wired Headphones,1,11.99,10/26/2020 13:16:32,"6465 4th St, San Francisco, CA 94016"
22,110209,AA Batteries (4-pack),1,3.84,10/19/2020 00:26:24,"730 Elm St, Atlanta, GA 30301"
